"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FSTL1",1.21333343395118e-72,0.493262497985731,0.375,0.061,2.25146152003981e-68,"ZR"
"PPP2R1A",1.41228447755217e-72,0.505213011133462,0.56,0.159,2.6206350765458e-68,"ZR"
"ITGB2",1.96325860416004e-72,-0.679552710892404,0.002,0.35,3.64302266587937e-68,"ZR"
"CISD3",2.98902220290249e-72,0.500574685890549,0.56,0.16,5.54642959970586e-68,"ZR"
"CD69",4.28654417034166e-72,-1.37775803460242,0.007,0.364,7.95411136248599e-68,"ZR"
"TMEM208",8.45124549854493e-72,0.435988982108291,0.511,0.13,1.56821311471e-67,"ZR"
"CD52",9.29928993035498e-72,-1.12623191171914,0.007,0.36,1.72557623947667e-67,"ZR"
"PFN1",1.92022213166799e-71,-1.0084536082646,0.607,0.814,3.56316418752312e-67,"ZR"
"MRPL34",3.91073832830226e-71,0.452230037405455,0.504,0.126,7.25676604199767e-67,"ZR"
"ECHS1",3.95317529223557e-71,0.494697443310266,0.57,0.168,7.33551207227232e-67,"ZR"
"MT1A",3.95409585985794e-71,0.590683184153553,0.262,0.031,7.3372202775524e-67,"ZR"
"HIST3H2A",7.34676335443771e-71,0.431282306712678,0.363,0.059,1.36326540804946e-66,"ZR"
"COMT",1.11028604724613e-70,0.53086398638559,0.588,0.187,2.06024678926992e-66,"ZR"
"NR4A2",1.38640772622152e-70,-0.898839450417525,0.027,0.4,2.57261817677665e-66,"ZR"
"DDT",1.41605482620537e-70,0.549262834117703,0.677,0.254,2.62763133550669e-66,"ZR"
"FXYD5",3.66630729243851e-70,-0.592572437825778,0.005,0.349,6.8031998118489e-66,"ZR"
"MSRB2",6.9180398064035e-70,0.421284563682766,0.474,0.113,1.28371146647623e-65,"ZR"
"NDUFS7",1.02927072304123e-69,0.524043354415986,0.689,0.264,1.90991475367531e-65,"ZR"
"ARPC1B",1.03802828899356e-69,-0.670508102018685,0.02,0.382,1.92616529305645e-65,"ZR"
"NDUFA7",1.43723646764719e-69,0.458565151808907,0.509,0.131,2.66693598936613e-65,"ZR"
"NDUFA6",2.00984177553442e-69,0.525749676366389,0.64,0.223,3.72946239868167e-65,"ZR"
